City,County
Bath,Somerset
Birmingham,West Midlands (county)
Bradford,West Yorkshire
Brighton and Hove,East Sussex
Bristol,Bristol
Cambridge,Cambridgeshire
Canterbury,Kent
Carlisle,Cumbria
Chelmsford,Essex
Chester,Cheshire
Chichester,West Sussex
Colchester,Essex
Coventry,West Midlands (county)
Derby,Derbyshire
Doncaster,South Yorkshire
Durham,County Durham
Ely,Cambridgeshire
Exeter,Devon
Gloucester,Gloucestershire
Hereford,Herefordshire
Kingston upon Hull,East Riding of Yorkshire
Lancaster,Lancashire
Leeds,West Yorkshire
Leicester,Leicestershire
Lichfield,Staffordshire
Lincoln,Lincolnshire
Liverpool,Merseyside
City of London,City of London
Manchester,Greater Manchester
Milton Keynes,Buckinghamshire
Newcastle upon Tyne,Tyne and Wear
Norwich,Norfolk
Nottingham,Nottinghamshire
Oxford,Oxfordshire
Peterborough,Cambridgeshire
Plymouth,Devon
Portsmouth,Hampshire
Preston,Lancashire
Ripon,North Yorkshire
Salford,Greater Manchester
Salisbury,Wiltshire
Sheffield,South Yorkshire
Southampton,Hampshire
Southend-on-Sea,Essex
St Albans,Hertfordshire
Stoke-on-Trent,Staffordshire
Sunderland,Tyne and Wear
Truro,Cornwall
Wakefield,West Yorkshire
Wells,Somerset
City of Westminster,Greater London
Winchester,Hampshire
Wolverhampton,West Midlands (county)
Worcester,Worcestershire
York,North Yorkshire
Aberdeen,Aberdeen
Dundee,Dundee
Dunfermline,Fife
Edinburgh,Edinburgh
Glasgow,Glasgow
Inverness,Highland (council area)
Perth,Perth and Kinross
Stirling,Stirling (council area)
Bangor,Gwynedd
Cardiff,South Glamorgan
Newport,Gwent (county)
St Asaph,Clwyd
St Davids,Dyfed
Swansea,West Glamorgan
Wrexham,Clwyd
Armagh,County Armagh
Bangor,County Down
Belfast,County Antrim / County Down
Lisburn,County Antrim / County Down
Newry,County Armagh / County Down
Derry,County Londonderry
